Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Ukraine,UKR,1.845,1.773,1.674,1.564,1.471,1.399,1.333,1.271,1.206,1.127,1.108,1.092,1.127,1.173,1.215,1.221,1.297,1.343,1.444,1.47,1.436,1.464,1.528,1.515,1.466,1.387,1.391,1.3,1.233,1.218,1.208,1.148,0.897,0.977,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Uzbekistan,UZB,4.122,4.19,4.056,3.863,3.66,3.566,3.393,3.186,2.985,2.831,2.696,2.61,2.575,2.503,2.496,2.438,2.461,2.573,2.635,2.559,2.442,2.354,2.337,2.445,2.546,2.583,2.564,2.57,2.713,2.869,3.062,3.273,3.396,3.5,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Turkmenistan,TKM,4.288,4.145,3.957,3.778,3.623,3.491,3.292,3.18,3.075,2.976,2.9,2.814,2.71,2.667,2.674,2.706,2.724,2.734,2.75,2.794,2.848,2.9,2.955,3.007,3.023,3.033,2.99,2.934,2.875,2.834,2.793,2.754,2.728,2.69,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Tajikistan,TJK,5.456,5.276,5.056,4.921,4.792,4.664,3.94,4.06,4.07,3.85,3.49,3.49,3.47,3.42,3.507,3.398,3.341,3.367,3.388,3.43,3.457,3.456,3.421,3.433,3.459,3.459,3.384,3.29,3.294,3.281,3.211,3.17,3.127,3.072,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Russian Federation,RUS,1.892,1.732,1.552,1.385,1.4,1.337,1.27,1.218,1.232,1.157,1.195,1.223,1.286,1.319,1.344,1.294,1.305,1.416,1.502,1.542,1.567,1.582,1.691,1.707,1.75,1.777,1.762,1.621,1.579,1.504,1.505,1.505,1.416,1.41,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Lithuania,LTU,2.03,2.01,1.97,1.74,1.57,1.55,1.49,1.47,1.46,1.46,1.39,1.29,1.23,1.26,1.27,1.29,1.33,1.36,1.45,1.5,1.5,1.55,1.6,1.59,1.57,1.63,1.63,1.57,1.53,1.43,1.36,1.36,1.27,1.18,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Latvia,LVA,2.02,1.86,1.73,1.51,1.39,1.25,1.16,1.11,1.09,1.16,1.25,1.22,1.26,1.32,1.29,1.39,1.46,1.54,1.58,1.46,1.36,1.33,1.44,1.52,1.65,1.7,1.74,1.69,1.6,1.61,1.55,1.57,1.47,1.36,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Kyrgyz Republic,KGZ,3.63,3.58,3.52,3.2,2.9,3.1,2.8,2.6,2.7,2.6,2.4,2.4,2.4,2.5,2.6,2.5,2.7,2.7,2.8,2.9,3.1,3.1,3.2,3.1,3.2,3.2,3.1,3,3.3,3.3,3.1,2.89,2.8,2.7,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Kazakhstan,KAZ,2.745,2.677,2.584,2.483,2.378,2.253,2.084,1.97,1.938,1.902,1.898,1.906,1.956,2.075,2.201,2.274,2.38,2.49,2.616,2.58,2.61,2.605,2.64,2.67,2.76,2.755,2.795,2.745,2.845,2.89,3.13,3.32,3.05,3.012,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Estonia,EST,2.05,1.8,1.71,1.49,1.42,1.38,1.37,1.32,1.28,1.3,1.36,1.32,1.36,1.37,1.47,1.52,1.58,1.69,1.72,1.7,1.72,1.61,1.56,1.52,1.54,1.58,1.6,1.59,1.67,1.66,1.58,1.61,1.41,1.31,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Belarus,BLR,1.913,1.805,1.764,1.623,1.533,1.406,1.335,1.25,1.3,1.31,1.317,1.286,1.24,1.232,1.233,1.252,1.335,1.429,1.488,1.509,1.494,1.515,1.62,1.668,1.696,1.724,1.733,1.541,1.448,1.382,1.369,1.371,1.326,1.208,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Azerbaijan,AZE,2.74,2.87,2.74,2.7,2.52,2.29,2.06,2.07,2,2.07,2,1.8,1.8,1.9,2.0535,2,1.97,1.97,1.9,1.82,1.92,1.96,2,1.98,1.97,1.94,1.9,1.75,1.73,1.81,1.7,1.52,1.67,1.55,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Armenia,ARM,2.708,2.643,2.499,2.286,2.084,2.067,2.06,1.9,1.81,1.534,1.3,1.2,1.2,1.3,1.4,1.3,1.3,1.4,1.4,1.5,1.5,1.5,1.6,1.6,1.7,1.6,1.6,1.6,1.6,1.6,1.7,1.7,1.7,1.9,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 10/07/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
